Unnamed: 0,original_path,id,label,label_str,path,ratio,structural_delta
0,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_10/FZV5C5L0AI.jpg,FZV5C5L0AI,0,fake,train/fake/FZV5C5L0AI.jpg,1.2286892345136704,0.24710511701616128
1,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/5NPAK781S4.jpg,5NPAK781S4,0,fake,train/fake/5NPAK781S4.jpg,1.245098014802,0.0966111285535678
2,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_10/VFW3IAITGX.jpg,VFW3IAITGX,0,fake,train/fake/VFW3IAITGX.jpg,1.2959897585742375,0.3701451668883024
3,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_11/4Z0SZ4MDMH.jpg,4Z0SZ4MDMH,0,fake,train/fake/4Z0SZ4MDMH.jpg,1.2612631779174401,0.051648512238941784
4,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_03/H9SRUVW5ME.jpg,H9SRUVW5ME,0,fake,train/fake/H9SRUVW5ME.jpg,1.370408995638698,1.05268510022749
5,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_03/4IWTEEYPHR.jpg,4IWTEEYPHR,0,fake,train/fake/4IWTEEYPHR.jpg,1.1790163636548858,0.7026824556464155
6,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/B0JINVZK0A.jpg,B0JINVZK0A,0,fake,train/fake/B0JINVZK0A.jpg,1.5035630390603494,2.2739143885919506
7,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_15/YA1ZKFYU1C.jpg,YA1ZKFYU1C,0,fake,train/fake/YA1ZKFYU1C.jpg,1.1790163636548858,0.7026824556464155
8,/kaggle/input/1-million-fake-faces/1m_faces_04_05_06_07/1m_faces_04_05_06_07/1m_faces_05/0KD0J8VYU3.jpg,0KD0J8VYU3,0,fake,train/fake/0KD0J8VYU3.jpg,1.2435938499874701,0.11040665498917439
9,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_08/3Q1G0IFUGH.jpg,3Q1G0IFUGH,0,fake,train/fake/3Q1G0IFUGH.jpg,1.1981296921977744,0.527383561111212
10,/kaggle/input/1-million-fake-faces/1m_faces_08_09_10_11/1m_faces_08_09_10_11/1m_faces_10/ZOUF4V0SVN.jpg,ZOUF4V0SVN,0,fake,train/fake/ZOUF4V0SVN.jpg,1.3903034230204292,1.2351478837035752
11,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_13/1BDAD7SY67.jpg,1BDAD7SY67,0,fake,train/fake/1BDAD7SY67.jpg,1.2421052083168156,0.12405981009709897
12,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_15/SATKHYQ4SV.jpg,SATKHYQ4SV,0,fake,train/fake/SATKHYQ4SV.jpg,1.2178289523662154,0.3467107639612933
13,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_15/I9FOU9NT6T.jpg,I9FOU9NT6T,0,fake,train/fake/I9FOU9NT6T.jpg,1.2115765939262384,0.40405459710403524
14,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_13/A743CA5FWI.jpg,A743CA5FWI,0,fake,train/fake/A743CA5FWI.jpg,1.3982250330699446,1.307801345475187
15,/kaggle/input/1-million-fake-faces/1m_faces_12_13_14_15/1m_faces_12_13_14_15/1m_faces_15/7ZHVDJBKET.jpg,7ZHVDJBKET,0,fake,train/fake/7ZHVDJBKET.jpg,1.3961284082187142,1.2885720407598409
16,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_01/7Q6VLG0T4D.jpg,7Q6VLG0T4D,0,fake,train/fake/7Q6VLG0T4D.jpg,1.3334087517494333,0.7133354240699965
17,/kaggle/input/1-million-fake-faces/1m_faces_00_01_02_03/1m_faces_00_01_02_03/1m_faces_00/5JEM0YHAO7.jpg,5JEM0YHAO7,0,fake,train/fake/5JEM0YHAO7.jpg,1.2344490210028383,0.1942789333378822
